번호,동물_수정,군집1,군집2,군집3,상위어,동의어,성체-새끼,비고,,
92,독사,3,3,,뱀,,,,,
93,독수리,3,2,,"새, 맹금류",,,,,
94,돈벌레,3,1,,벌레,,,,,
95,돌고래,2,4,,,,,,,
96,돌돔,2,5,,"물고기, 생선",,,,,
97,돔,2,5,,"물고기, 생선",도미,,,,
98,동물원,8,,,,,,,,
99,동물의 왕국,8,,,,,,,,
100,돼지,4,4,,,,,,,
101,돼지 소,8,,,,,,,,
102,돼지새끼,8,,,,,,,,
103,두꺼비,3,3,,양서류,,올챙이,,,
104,두더지,3,4,,,,,,,
105,두루미,3,2,,새,학,,,,
106,듀공,2,4,,,,,,,
107,들개,3,4,,개,,강아지,,,
108,들소,3,4,,소,,송아지,,,
109,들쥐,3,4,,쥐,,,,,
110,딱따구리,3,2,,새,,,,,
111,딱정벌레,3,1,,벌레,,,,,
112,땅쥐,3,4,,,두더지,,,,
113,뜸북새,3,2,,새,뜸부기,,,,
114,라마,1,4,,,,,타당도 설문??,,
115,라이거,1,4,,,,,,,
116,라쿤,1,4,,,,,,,
117,레서판다,1,4,,,,,,,
118,레오파드,1,4,,,표범,,,,
119,리트리버,5,4,,개,골든리트리버,강아지,,,
120,말,4,4,,,,,,,
121,말똥가리,3,2,,"새, 맹금류",,,,,
122,말미잘,2,7,,,,,,,
123,맘모스,6,4,,,매머드,,,,
124,망둥어,2,5,,"물고기, 생선",망둑어,,,,
125,망아지,4,4,,,,"말, 조랑말",,,
126,매,3,2,,"새, 맹금류",,,,,
127,매너티,1,4,,,,,밑에 바다사자와 같은 고민,,
128,매머드,6,4,,,맘모스,,,,
129,매미,3,1,,벌레,,,,,
131,맹금류,7,2,,새,,,,,
132,맹꽁이,3,3,,"개구리, 양서류",,올챙이,,,
133,먹이,8,,,,,,,,
134,먹이사슬,8,,,,,,,,
135,메기,2,5,,"물고기, 생선",,,,,
136,메니큐어,8,,,,,,,,
137,메뚜기,3,1,,벌레,,,,,
139,메추리,3,2,,새,,,,,
140,멧돼지,3,4,,,,,,,
141,멸치,2,5,,"물고기, 생선",,,,,
142,명태,2,5,,"물고기, 생선",,,,,
143,모기,3,1,,벌레,,,,,
144,목도리도마뱀,3,3,,도마뱀,,,,,
145,목줄,8,,,,,,,,
146,무당벌레,3,1,,벌레,,,,,
147,문어,2,7,,,,,,,
148,물개,1,4,,,,,밑에 바다사자와 같은 고민,,
149,물고기,2,5,,,생선,,,,
150,물곰,2,5,,"물고기, 생선",꼼치,,,,
151,물방개,3,1,,벌레,,,,,
152,물범,2,4,,,,,,,
153,물붕어,8,,,,,,,,
154,물새,3,2,,새,,,,,
155,물소,1,4,,소,,송아지,우리나라에서 관찰 불가해서 동물원으로 넣음. 시트4에는 야생,,
156,물장군,3,1,,벌레,,,,,
157,미꾸라지,2,5,,"물고기, 생선",,,,,
158,미어캣,1,4,,,,,,,
159,민물고기,2,5,,"물고기, 생선",,,민물고기들을 다 분류해서 이 이름의 하위어로 넣기에는 까다로워서.. 그냥 물고기랑 동의어로 보는 게 어떨지,,
160,민어,2,5,,"물고기, 생선",,,,,
161,바다사자,1,4,,,,,"1970년대까지 동해에서 서식하고 있는 것으로 알려져 왔으나, 최근 20년 동안 목격된 사례가 없다.",,
162,바다코끼리,1,4,,,,,바다사자와 같은 고민. 1.2 로 갈지 2로 갈지,,
163,바다표범,1,4,,,,,바다사자와 같은 고민. 1.2 로 갈지 2로 갈지,,
164,바닷가재,2,7,,가재,,,,,
165,바퀴벌레,3,1,,벌레,,,,,
166,박새,3,2,,새,,,,,
167,박쥐,3,4,,,,,,,
168,반달가슴곰,3,4,,곰,반달곰,,,,
169,반달곰,3,4,,곰,반달가슴곰,,반달가슴곰의 다른말,,
170,반려동물,7,,,군집 1의 5 참고,,,,,
171,밤팔라,8,,,,,,,,
172,방어,2,5,,"물고기, 생선",,,,,
173,방울새,3,2,,새,,,,,
174,배스,2,5,,"물고기, 생선",,,,,
175,베짱이,3,1,,벌레,,,,,
176,백곰,1,4,,곰,북극곰,,우리나라 야생에서는 보기 어려운 것 같아서 동물원으로 넣음,,
177,백로,3,2,,새,,,,,
178,백조,3,2,,새,,,,,
179,백호,1,4,,"호랑이, 범",,,"우리나라 야생에서는 보기 어렵고, 동물원/신화에서 보여서 동물원으로 넣음",,
180,뱀,3,3,,,,,,,
181,뱀장어,2,5,,"장어, 물고기, 생선",,,,,
182,뱁새,3,2,,새,,,,,
183,버팔로,1,4,,,물소,송아지,아메리카들소의 다른 이름,,
184,벅,8,,,,,,,,
185,벌,3,1,,벌레,,,,,
186,벌레,3,1,,,,,,,
187,범,3,4,,,호랑이,,,,
188,범고래,2,4,,고래,,,,,
189,베룩아,8,,,,,,,,
190,베짱이,3,1,,벌레,,,,,
191,벤치,8,,,,,,,,
192,벼룩,3,1,,벌레,,,,,
193,병아리,4,4,,,,"닭, 수탉, 오골계, 토종닭",,,
194,보노보,1,6,,,,,영장목 성성이과의 포유류. 침팬지와 비슷함,,
195,복어,2,5,,"물고기, 생선",,,,,
196,봉학,8,,,,,,,,
197,봉황,8,,,,,,,,
198,부엉이,3,2,,"새, 맹금류",,,,,
199,북극곰,1,4,,곰,백곰,,"백곰과 마찬가지로, 우리나라에서는 보기 어려워서 동물원으로 넣음",,
200,북극여우,1,4,,여우,,,,,
201,불가사리,2,7,,,,,,,
202,불곰,3,4,,곰,,,,,
203,붕어,2,5,,"물고기, 생선",,,,,
204,비단뱀,3,3,,뱀,,,,,
205,비둘기,3,2,,새,,,,,
206,비버,1,4,,,,,,,
207,뻐꾸기,3,2,,"새, 맹금류",,,,,
208,뽀빠이,8,,,,,,,,
209,뿔소,8,,,,,,,,
210,사과,8,,,,,,,,
211,사냥개,4,4,,개,,강아지,하운드의 상위어,,
212,사람,8,,,,,,,,
213,사료,8,,,,,,,,
214,사마귀,3,1,,벌레,,,,,
215,사막여우,1,4,,여우,,,,,
216,사슴,3,4,,,,,,,
217,사슴벌레,3,1,,벌레,,,,,
218,사육사,8,,,,,,,,
219,사자,1,4,,,,,,,
220,산닭,3,2,,"새, 닭",,,꿩과,,
221,산돼지,3,4,,돼지,,,멧돼지의 다른 이름,,
222,산비둘기,3,2,,"새, 비둘기",,,멧비둘기의 다른 이름. 비둘기과의 한 종류,,
223,산양,3,4,,양,,,,,
224,산호새,8,,,,,,,,
225,살모사,3,3,,뱀,,,,,
226,살쾡이,3,4,,,,,,,
227,삵,3,4,,,,,,,
228,삼치,2,5,,"물고기, 생선",,,,,
229,삽살개,5,4,,개,,강아지,,,
230,상어,2,5,,"물고기, 생선",,,,,
231,새,7,2,,군집 2의 2,,,,,
232,새끼,8,,,,,,,,
233,새우,2,7,,,,,,,
234,생선,2,5,,,물고기,,,,
235,생쥐,3,4,,쥐,,,,,
236,설모새,8,,,,,,,,
237,성성이,1,6,,,오랑우탄,,오랑우탄의 다른 이름. 오랑우탄으로 통일할지 그대로 둘지 의논 필요,,
238,소,4,4,,,,송아지,,,
239,소금쟁이,3,1,,벌레,,,,,
240,소라,2,7,,,,,,,
241,소롱박이,8,,,,,,,,
242,소쩍새,3,2,,새,,,,,
243,솔개,3,2,,새,,,,,
244,송사리,2,5,,"물고기, 생선",,,,,
245,송아지,4,4,,,,"소, 얼룩소, 젖소, 황소, 들소, 물소, 버팔로",,,
246,송어,2,5,,"물고기, 생선",,,,,
247,송충이,3,1,,벌레,,,,,
248,쇠똥구리,3,1,,벌레,,,,,
249,수달,1,4,,,,,,,
250,수리부엉이,3,2,,"새, 부엉이, 맹금류",,,,,
251,수탉,4,2,,"새, 닭",,병아리,,,
252,순록,1,4,,,,,,,
253,숭어,2,5,,"물고기, 생선",,,,,
254,스라소니,1,4,,,,,"분포 지역에 한국이 있긴 하고, 시트 4에서도 군집3으로 분류했는데 본 것 같지는 않아서 동물원으로 분류해놓음",,
255,스컹크,1,4,,,,,,,
256,스핑크스,8,,,,,,,,
257,승냥이,1,4,,,,,"분포 지역에 한국이 있긴 하고, 시트 4에서도 군집3으로 분류했는데 본 것 같지는 않아서 동물원으로 분류해놓음",,
258,시츄,5,4,,,,강아지,,,
259,식물,8,,,,,,,,
260,십자매,5,2,,"새, 맹금류",,,참새목의 한 종류,사실 새가 제일 애매해서.. 일단 분포 지역에 한국이 없길래 동물원으로 분류해놓음 / 문제는 새를 다 말했는데 한 군집으로 묶이지 않을 수 있어서..,
261,쓰라라미,8,,,,,,,,
262,씨르래기,8,,,,,,,,
263,아귀,2,5,,"물고기, 생선",,,,,
264,아나콘다,1,3,,,,,시트 4에서 군집3으로 분류했는데 본 것 같지는 않아서 동물원으로 분류해놓음 / 이것도 문제인게 뱀 종류 말해도 한 군집으로 묶이지 않을 수 있음,,
265,아르마딜로,1,4,,,,,,,
266,아프리카들개,1,4,,,,,,,
267,악어,1,3,,,"크로커다일, alligator",,,,
268,안경곰,1,4,,,,,,,
269,알바트로스,1,2,,"새, 맹금류",,,,,
270,알파카,1,4,,,,,,,
271,앙고라,5,4,,,,,앙카라,"검색했을 때는 앙고라 토끼의 품종이라고 나오는데, 비고에 '앙카라' 라고 적혀있어서 어떻게 처리해야할지 모르겠음",
272,애벌레,3,1,,벌레,,나비,,,
273,앵무새,5,2,,"새, 잉꼬",,,,,
274,야생,8,,,,,,,,
275,야크,1,4,,,,,,,
276,양,4,4,,,,,,,
277,양서류,7,3,,,,,,,
278,어린이대공원,8,,,,,,,,
279,얼룩말,1,4,,,,,,,
280,얼룩소,4,4,,소,젖소,송아지,얼룩소는 젖소 같은 느낌이 강해서 일단 가축으로 분류하긴 함.. '소'를 어떻게 분류할진 잘 모르겠지만 '들소'는 3이 될 것 같고.. 물소는 '1' 이고 그러면 같은 소를 이야기했어도 의미적 분류로는 군집이 묶이지 않게 되어버려서 좀 애매함. 근데 상위어는 '소'로 동일할 것이기 때문에 의미적으로 묶여야 하는게 모순이 생기지 않는 것 같은데... ,,
281,엘크,1,4,,,,,우리말은 '말코손바닥사슴',,상위어로 사슴을 넣어도 괜찮을지
282,여우,3,4,,,,,,,
283,여치,3,1,,벌레,,,,,
284,연어,2,5,,"물고기, 생선",,,,,
285,열대어,2,5,,"물고기, 생선",,,,,
286,염소,4,4,,,,,,,
287,영양,1,4,,,,,,,
289,오골계,4,2,,"새, 닭",,병아리,가축으로 봐도 괜찮을지,,
290,오랑우탄,1,6,,,,,,,
291,오리,4,2,,새,,,야생 or 가축 ?? 시트 4에서는 가축,,
292,오리너구리,1,4,,,,,,,
293,오소리,3,4,,,,,,,
294,오스트랄로피테쿠스,6,6,,,,,,,
295,오징어,2,7,,,,,,,
296,옥돔,2,5,,"물고기, 생선",,,,,
297,올빼미,3,2,,"새, 맹금류",,,영국에서 한국에 이르는 유라시아의 온대에 불연속적으로 널리 분포한다. 한국에서는 전국의 평지와 산지 숲에서 볼 수 있는 흔치 않은 텃새이다,,
298,올챙이,3,3,,양서류,,"개구리, 맹꽁이, 두꺼비",,,
299,왈라비,1,4,,,,,,,
300,왜가리,3,2,,새,,,,,
301,용,8,,,,,,,,
302,우럭,2,5,,"물고기, 생선",,,,,
303,우렁이,2,7,,,,,,,
304,우파루파,2,5,,도롱뇽,,,,,
305,울적새,8,,,,,,,,
306,원숭이,1,6,,,,,,,
307,원앙,3,2,,"새, 오리",,,,,
308,웜뱃,1,4,,,오소리,,,,
309,은어,2,5,,"물고기, 생선",,,,,
310,이구아나,1,3,,,,,,,
311,이리,1,4,,,늑대,,,,
312,임팔라,1,4,,영양,,,,,
313,잉꼬,5,2,,"새, 반려동물",앵무새,,,,
314,잉어,2,5,,"물고기, 생선",,,,,
315,자라,2,3,,,,,,,
316,자바리,2,5,,"물고기, 생선",,,,,
317,자칼,1,4,,,,,,,
318,작칼,8,,,,,,,,
319,잔나비,1,6,,,원숭이,,원숭이의 다른 이름,,
320,잠자리,3,1,,벌레,,,,,
321,장구벌레,3,1,,벌레,,,,,
322,장수풍뎅이,3,1,,벌레,,,,,
323,장어,2,5,,"물고기, 생선",,,,,
324,재규어,1,4,,,,,,,
325,전갈,1,1,,,,,,,
326,전복,2,7,,,,,,,
327,전어,2,5,,"물고기, 생선",,,,,
328,정어리,2,5,,"물고기, 생선",,,,,
329,젖소,4,4,,소,얼룩소,송아지,,,
330,제비,3,2,,새,,,,,
331,조개,2,7,,,,,,,
332,조기,2,5,,"물고기, 생선",,,,,
333,조랑말,4,4,,말,,,,,
334,조피볼락,2,5,,"물고기, 생선",,,,,
335,족제비,3,4,,,,,,,
336,종달새,3,2,,새,,,,,
337,주머니쥐,3,4,,쥐,,,,,
338,주스,8,,,,,,,,
339,쥐,3,4,,,,,,,
340,지네,3,1,,벌레,,,,,
341,지렁이,3,1,,벌레,,,,,
342,지브라,1,4,,,얼룩말,,,,
343,지빠귀새,3,2,,새,,,,,
344,직박구리,3,2,,새,,,,,
345,진돗개,5,4,,개,,강아지,,,
346,진드기,3,1,,벌레,,,,,
347,짱뚱어,2,5,,"물고기, 생선",,,,,
348,쭈꾸미,2,7,,,,,,,
349,참게,2,7,,게,,,,,
350,참돔,2,5,,"물고기, 생선, 도미",,,,,
351,참새,3,2,,새,,,,,
352,참치,2,5,,"물고기, 생선",,,,,
353,청계,8,,,,,,,,
354,청둥오리,3,2,,새,,,,,
355,청새치,2,5,,"물고기, 생선",,,,,
356,청설모,3,4,,,,,,,
357,청어,2,5,,"물고기, 생선",,,,,
358,초파리,3,1,,벌레,,,,,
359,치타,1,4,,,,,,,
360,친칠라,5,4,,,,,,,
361,칠면조,4,2,,새,,,동물원? 가축?,,
362,침팬지,1,6,,,,,,,
363,카나리아,1,2,,새,,,,,
364,카멜레온,1,3,,,,,,,
365,카피바라,1,4,,,,,,,
366,캥거루,1,4,,,,,,,
367,코끼리,1,4,,,,,,,
368,코로나,8,,,,,,,,
369,코브라,1,3,,뱀,,,,,
370,코뿔소,1,4,,,,,,,
371,코알라,1,4,,,,,,,
372,코요테,1,4,,,,,,,
373,콘돌,8,,,,,,,,
374,콩벌레,3,1,,벌레,,,"정확한 명칭은 '공벌레' 인 것 같은데 우선 공벌레라고 말한 사람이 아무도 없고, 콩벌레라고 혼용해서 사용하는 것 같기도 함",,
375,쿼카,1,4,,,,,,,
376,크낙새,1,2,,새,,,,,
377,크로커다일,1,3,,,"악어, alligator",,,,
378,키위,6,2,,새,,,,,
379,킹콩,8,,,,,,,,
380,타잔,8,,,,,,,,
381,타조,1,2,,새,,,,,
382,털,8,,,,,,,,
383,토끼,5,4,,,,,,,
384,토종닭,4,2,,"새, 닭",,병아리,토종닭이라는 품종이 존재함. 닭의 하위어,,
385,톰슨가젤,1,4,,"가젤, 영양",,,,,
386,토고투칸,1,2,,새,,,,,
387,티라노사우르스,6,3,,공룡,,,파충류로 분류해도 괜찮을지,,
388,티베트모래여우,1,4,,여우,,,,,
389,파랑새,3,2,,새,,,,,
390,파리,3,1,,벌레,,,,,
391,판다,1,4,,,,,,,
392,페럿,5,4,,,,,,,
393,페리카나,8,,,,,,,,
394,펠리카나,8,,,,,,,,
395,펠리컨,1,2,,새,,,(영어 고려) 정확한 명칭은 '사다새' 인 것 같음. 하지만 사다새 라고 말한 피험자가 없어서 펠리컨으로 둠,,
396,펭귄,1,2,,새,,,,,
397,포유류,7,4,,군집 2의 4,,,군집1을 뭐라고 해야할지,,
398,폴라베어,1,4,,곰,"북극곰, 백곰",,북극곰' 으로 수정하지 않고 일단 둠. 북극곰과 동일어,,
399,표범,1,4,,,눈표범,,,,
400,풍뎅이,3,1,,벌레,,,,,
401,퓨마,1,4,,,,,,,
402,플라나리아,2,7,,,,,,,
403,플라밍고,1,2,,새,홍학,,홍학'류의 총칭. 홍학과 동일어,,
404,피노키오,8,,,,,,,,
405,피라니아,2,5,,"물고기, 생선",,,,,
406,피라미,2,5,,"물고기, 생선",,,"피라미와 피라니아가 동일한 건줄 알았는데, 서로 종이 다름",,
407,핀치새,1,2,,새,,,정확한 워딩은 '멧새' 인 것 같음. 멧새를 언급한 사람이 없어서 수정하지는 않음,,
408,하늘다람쥐,3,4,,다람쥐,,,,,
409,하마,1,4,,,,,,,
410,하마새,8,,,,,,,,
411,하이에나,1,4,,,,,,,
412,학,3,2,,새,두루미,,,,
413,한우,8,,,,,,한국 고유의 소 품종으로 존재함. 소의 하위어,,
414,할미새,3,2,,새,,,,,
415,해달,1,4,,,,,,,
416,해마,2,5,,,,,,,
417,해말,8,,,,,,,,
418,해삼,2,7,,,,,,,
419,해오라기,3,2,,새,,,,,
420,해파리,2,7,,,,,,,
421,햄스터,5,4,,,,,,,
422,향어,2,5,,"물고기, 생선",,,,,
423,현무,8,,,,,,,,
424,호랑나비,3,1,,"벌레, 나비",,애벌레,,,
425,호랑이,3,4,,,,,,,
426,홍어,2,5,,"물고기, 생선",,,,,
427,홍학,1,2,,새,플라밍고,,,,
428,홍합,2,7,,조개,,,,,
429,황새,3,2,,새,,,,,
430,황소,4,4,,소,,송아지,,,
431,황조롱이,3,2,,"새, 맹금류",,,,,
432,흑염소,4,4,,염소,,,,,
433,흑표범,1,4,,표범,,,"정확한 명칭은 '검은 표범' 이지만 흑표범, 흑표 와 혼용하여 사용됨",,
434,흙돼지,4,4,,돼지,,,돼지의 하위어,,
435,흰수염고래,2,4,,고래,,,,,
436,alligator,1,3,,,"악어, 크로커다일",,스펠링 오류 수정함 / 악어와 동일종,,
437,구피,2,5,,"물고기, 생선",,,,,
438,천산갑,1,4,,,,,,,
439,산토끼,3,4,,토끼,,,,,
440,공,8,,,,,,,,
441,피쉬,2,5,,,"물고기, 생선",,,,
442,구관조,2,2,,새,,,,,
443,목자,8,,,,,,,,
444,청개구리,3,3,,"개구리, 양서류",,올챙이,,,
445,물사마귀,8,,,,,,,,
446,꿀벌,2,1,,"벌, 벌레",,,,,
447,백상아리,2,5,,"상어, 물고기, 생선",,,,,
448,만타가오리,2,5,,"가오리, 물고기, 생선",,,,,
449,참조기,2,5,,"조기, 물고기, 생선",,,,,
450,이승권,8,,,,,,,,
451,사냥,8,,,,,,,,
452,치와와,5,4,,개,,강아지,,,
453,가마우지,3,2,,새,,,,,
454,엘프,8,,,,,,,,
455,사향노루,3,4,,노루,,,,,
456,시조새,6,2,,새,,,,,
457,군함조,3,2,,새,,,,,
458,목마,8,,,,,,,,
